Tinggi,Gender,Pengukuran,L,M,S
69.5,L,Height,-0.3521,8.468,0.08231
69.5,P,Height,-0.3833,8.2039,0.09065
69.5,L,Length,-0.3521,8.3092,0.08224
69.5,P,Length,-0.3833,8.0599,0.09074
70,L,Height,-0.3521,8.5808,0.08237
70,P,Height,-0.3833,8.3058,0.09059
70,L,Length,-0.3521,8.4227,0.08229
70,P,Length,-0.3833,8.163,0.09068
70.5,L,Height,-0.3521,8.6927,0.08243
70.5,P,Height,-0.3833,8.4071,0.09053
70.5,L,Length,-0.3521,8.5358,0.08235
70.5,P,Length,-0.3833,8.2651,0.09062
71,L,Height,-0.3521,8.8036,0.0825
71,P,Height,-0.3833,8.5078,0.09047
71,L,Length,-0.3521,8.648,0.08241
71,P,Length,-0.3833,8.3666,0.09056
71.5,L,Height,-0.3521,8.9135,0.08257
71.5,P,Height,-0.3833,8.6078,0.09041
71.5,L,Length,-0.3521,8.7594,0.08248
71.5,P,Length,-0.3833,8.4676,0.0905
72,L,Height,-0.3521,9.0221,0.08264
72,P,Height,-0.3833,8.707,0.09035
72,L,Length,-0.3521,8.8697,0.08254
72,P,Length,-0.3833,8.5679,0.09043
72.5,L,Height,-0.3521,9.1292,0.08272
72.5,P,Height,-0.3833,8.8053,0.09028
72.5,L,Length,-0.3521,8.9788,0.08262
72.5,P,Length,-0.3833,8.6674,0.09037
73,L,Height,-0.3521,9.2347,0.08278
73,P,Height,-0.3833,8.9025,0.09022
73,L,Length,-0.3521,9.0865,0.08269
73,P,Length,-0.3833,8.7661,0.09031
73.5,L,Height,-0.3521,9.339,0.08285
73.5,P,Height,-0.3833,8.9983,0.09016
73.5,L,Length,-0.3521,9.1927,0.08276
73.5,P,Length,-0.3833,8.8638,0.09025
74,L,Height,-0.3521,9.442,0.08292
74,P,Height,-0.3833,9.0928,0.09009
74,L,Length,-0.3521,9.2974,0.08283
74,P,Length,-0.3833,8.9601,0.09018
74.5,L,Height,-0.3521,9.5438,0.08298
74.5,P,Height,-0.3833,9.1862,0.09003
74.5,L,Length,-0.3521,9.401,0.08289
74.5,P,Length,-0.3833,9.0552,0.09012
75,L,Height,-0.3521,9.644,0.08303
75,P,Height,-0.3833,9.2786,0.08996
75,L,Length,-0.3521,9.5032,0.08295
75,P,Length,-0.3833,9.149,0.09005
75.5,L,Height,-0.3521,9.7425,0.08308
75.5,P,Height,-0.3833,9.3703,0.08989
75.5,L,Length,-0.3521,9.6041,0.08301
75.5,P,Length,-0.3833,9.2418,0.08999
76,L,Height,-0.3521,9.8392,0.08312
76,P,Height,-0.3833,9.4617,0.08983
76,L,Length,-0.3521,9.7033,0.08307
76,P,Length,-0.3833,9.3337,0.08992
76.5,L,Height,-0.3521,9.9341,0.08315
76.5,P,Height,-0.3833,9.5533,0.08976
76.5,L,Length,-0.3521,9.8007,0.08311
76.5,P,Length,-0.3833,9.4252,0.08985
77,L,Height,-0.3521,10.0274,0.08317
77,P,Height,-0.3833,9.6456,0.08969
77,L,Length,-0.3521,9.8963,0.08314
77,P,Length,-0.3833,9.5166,0.08979
77.5,L,Height,-0.3521,10.1194,0.08318
77.5,P,Height,-0.3833,9.739,0.08963
77.5,L,Length,-0.3521,9.9902,0.08317
77.5,P,Length,-0.3833,9.6086,0.08972
78,L,Height,-0.3521,10.2105,0.08317
78,P,Height,-0.3833,9.8338,0.08956
78,L,Length,-0.3521,10.0827,0.08318
78,P,Length,-0.3833,9.7015,0.08965
78.5,L,Height,-0.3521,10.3012,0.08315
78.5,P,Height,-0.3833,9.9303,0.0895
78.5,L,Length,-0.3521,10.1741,0.08318
78.5,P,Length,-0.3833,9.7957,0.08959
79,L,Height,-0.3521,10.3923,0.08311
79,P,Height,-0.3833,10.0289,0.08943
79,L,Length,-0.3521,10.2649,0.08316
79,P,Length,-0.3833,9.8915,0.08952
79.5,L,Height,-0.3521,10.4845,0.08305
79.5,P,Height,-0.3833,10.1298,0.08937
79.5,L,Length,-0.3521,10.3558,0.08313
79.5,P,Length,-0.3833,9.9892,0.08946
80,L,Height,-0.3521,10.5781,0.08298
80,P,Height,-0.3833,10.2332,0.08932
80,L,Length,-0.3521,10.4475,0.08308
80,P,Length,-0.3833,10.0891,0.0894
80.5,L,Height,-0.3521,10.6737,0.0829
80.5,P,Height,-0.3833,10.3393,0.08926
80.5,L,Length,-0.3521,10.5405,0.08301
80.5,P,Length,-0.3833,10.1916,0.08934
81,L,Height,-0.3521,10.7718,0.08279
81,P,Height,-0.3833,10.4477,0.08921
81,L,Length,-0.3521,10.6352,0.08293
81,P,Length,-0.3833,10.2965,0.08928
81.5,L,Height,-0.3521,10.8728,0.08268
81.5,P,Height,-0.3833,10.5586,0.08916
81.5,L,Length,-0.3521,10.7322,0.08284
81.5,P,Length,-0.3833,10.4041,0.08923
82,L,Height,-0.3521,10.9772,0.08255
82,P,Height,-0.3833,10.6719,0.08912
82,L,Length,-0.3521,10.8321,0.08273
82,P,Length,-0.3833,10.514,0.08918
82.5,L,Height,-0.3521,11.0851,0.08241
82.5,P,Height,-0.3833,10.7874,0.08908
82.5,L,Length,-0.3521,10.935,0.0826
82.5,P,Length,-0.3833,10.6263,0.08914
83,L,Height,-0.3521,11.1966,0.08225
83,P,Height,-0.3833,10.9051,0.08905
83,L,Length,-0.3521,11.0415,0.08246
83,P,Length,-0.3833,10.741,0.0891
83.5,L,Height,-0.3521,11.3114,0.08209
83.5,P,Height,-0.3833,11.0248,0.08902
83.5,L,Length,-0.3521,11.1516,0.08231
83.5,P,Length,-0.3833,10.8578,0.08906
84,L,Height,-0.3521,11.429,0.08191
84,P,Height,-0.3833,11.1462,0.08899
84,L,Length,-0.3521,11.2651,0.08215
84,P,Length,-0.3833,10.9767,0.08903
84.5,L,Height,-0.3521,11.549,0.08174
84.5,P,Height,-0.3833,11.2691,0.08897
84.5,L,Length,-0.3521,11.3817,0.08198
84.5,P,Length,-0.3833,11.0974,0.089
85,L,Height,-0.3521,11.6707,0.08156
85,P,Height,-0.3833,11.3934,0.08896
85,L,Length,-0.3521,11.5007,0.08181
85,P,Length,-0.3833,11.2198,0.08898
85.5,L,Height,-0.3521,11.7937,0.08138
85.5,P,Height,-0.3833,11.5186,0.08895
85.5,L,Length,-0.3521,11.6218,0.08163
85.5,P,Length,-0.3833,11.3435,0.08897
86,L,Height,-0.3521,11.9173,0.08121
86,P,Height,-0.3833,11.6444,0.08895
86,L,Length,-0.3521,11.7444,0.08145
86,P,Length,-0.3833,11.4684,0.08895
86.5,L,Height,-0.3521,12.0411,0.08105
86.5,P,Height,-0.3833,11.7705,0.08895
86.5,L,Length,-0.3521,11.8678,0.08128
86.5,P,Length,-0.3833,11.594,0.08895
87,L,Height,-0.3521,12.1645,0.0809
87,P,Height,-0.3833,11.8965,0.08896
87,L,Length,-0.3521,11.9916,0.08111
87,P,Length,-0.3833,11.7201,0.08895
87.5,L,Height,-0.3521,12.2871,0.08076
87.5,P,Height,-0.3833,12.0223,0.08897
87.5,L,Length,-0.3521,12.1152,0.08096
87.5,P,Length,-0.3833,11.8461,0.08895
88,L,Height,-0.3521,12.4089,0.08064
